z,rho
279.2,0.91982273
279.4,0.91982378
279.6,0.91982481
279.8,0.91982584
280,0.91982687
280.2,0.91982789
280.4,0.9198289
280.6,0.9198299
280.8,0.91983091
281,0.9198319
281.2,0.91983289
281.4,0.91983387
281.6,0.91983485
281.8,0.91983582
282,0.91983679
282.2,0.91983775
282.4,0.9198387
282.6,0.91983965
282.8,0.91984059
283,0.91984153
283.2,0.91984246
283.4,0.91984339
283.6,0.91984431
283.8,0.91984523
284,0.91984614
284.2,0.91984704
284.4,0.91984794
284.6,0.91984884
284.8,0.91984973
285,0.91985061
285.2,0.91985149
285.4,0.91985236
285.6,0.91985323
285.8,0.91985409
286,0.91985495
286.2,0.91985581
286.4,0.91985665
286.6,0.9198575
286.8,0.91985834
287,0.91985917
287.2,0.91986
287.4,0.91986082
287.6,0.91986164
287.8,0.91986245
288,0.91986326
288.2,0.91986407
288.4,0.91986487
288.6,0.91986566
288.8,0.91986645
289,0.91986724
289.2,0.91986802
289.4,0.9198688
289.6,0.91986957
289.8,0.91987033
290,0.9198711
290.2,0.91987186
290.4,0.91987261
290.6,0.91987336
290.8,0.9198741
291,0.91987484
291.2,0.91987558
291.4,0.91987631
291.6,0.91987704
291.8,0.91987776
